,artist,title,amazonMusic,deezer,appleMusic,spotify,tidal,yandex,youtube,youtubeMusic,soundcloud
0,Akute,Ціск,https://music.amazon.com/albums/B0B7VK9ZSH?trackAsin=B0B7TZX1QD,https://www.deezer.com/track/1843016397,https://geo.music.apple.com/us/album/_/1636706766?i=1636706767&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/6GQ9si47HEl8gNSmp1OGi8,https://listen.tidal.com/track/240188529,https://music.yandex.ru/track/106132264,https://www.youtube.com/watch?v=WnWSIsWICyE,https://music.youtube.com/watch?v=WnWSIsWICyE,
1,Akute,Сэрца,https://music.amazon.com/albums/B07R7TM171?trackAsin=B07R6QVMVT,https://www.deezer.com/track/673293352,https://geo.music.apple.com/us/album/_/1461821503?i=1461821507&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/5oEYRLeNLKOC8DX5cZQinq,https://listen.tidal.com/track/108560182,https://music.yandex.ru/track/52542809,https://www.youtube.com/watch?v=EBFx83a5o1w,https://music.youtube.com/watch?v=EBFx83a5o1w,
2,Akute,Адзіноцтва,,https://www.deezer.com/track/679679482,https://geo.music.apple.com/us/album/_/1463398315?i=1463398626&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/4a4y1rg1DulecXV80HnZ6A,https://listen.tidal.com/track/109315507,https://music.yandex.ru/track/53003051,https://www.youtube.com/watch?v=7vrtfYoFgJE,https://music.youtube.com/watch?v=7vrtfYoFgJE,
3,Akute,Мы цалуем сонца,https://music.amazon.com/albums/B07RBY7NS5?trackAsin=B07R6V7C72,https://www.deezer.com/track/673763122,https://geo.music.apple.com/us/album/_/1462088237?i=1462088238&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/7f9uhRUGYQCXHIVvpG1y6U,https://listen.tidal.com/track/108634640,https://music.yandex.ru/track/52569981,https://www.youtube.com/watch?v=f0LZrNoUKD4,https://music.youtube.com/watch?v=f0LZrNoUKD4,
4,Akute,Калі б я застаўся з табой,https://music.amazon.com/albums/B07R7TM171?trackAsin=B07R8YJR1F,https://www.deezer.com/track/673293412,https://geo.music.apple.com/us/album/_/1461821503?i=1461821513&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/4nPpVvdLYQMZVeyNxs83sE,https://listen.tidal.com/track/108560188,https://music.yandex.ru/track/52542824,https://www.youtube.com/watch?v=E2jnZU53ToM,https://music.youtube.com/watch?v=E2jnZU53ToM,
5,Akute,Бегчы,https://music.amazon.com/albums/B07RBY7NS5?trackAsin=B07R92XX4S,https://www.deezer.com/track/673763192,https://geo.music.apple.com/us/album/_/1462088237?i=1462088245&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/507dAKiSjZLvRMvsLEIs8L,https://listen.tidal.com/track/108634647,https://music.yandex.ru/track/52569988,https://www.youtube.com/watch?v=S3u9kY2pv3o,https://music.youtube.com/watch?v=S3u9kY2pv3o,https://soundcloud.com/akute/akute-album-version
6,Akute,Яшчэ адзін шпіталь,https://music.amazon.com/albums/B07R7TM171?trackAsin=B07R6QTQ8P,https://www.deezer.com/track/673293392,https://geo.music.apple.com/us/album/_/1461821503?i=1461821511&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/7zCFgwDce8Ck3CzEBezVsN,https://listen.tidal.com/track/108560186,https://music.yandex.ru/track/52542817,https://www.youtube.com/watch?v=I05fx28ZHBw,https://music.youtube.com/watch?v=I05fx28ZHBw,
7,Akute,Шчасце,https://music.amazon.com/albums/B07RRQVLVX?trackAsin=B07RTYZ3YB,https://www.deezer.com/track/679679412,https://geo.music.apple.com/us/album/_/1463398315?i=1463398619&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/38LpHvz1rUAzRySw8qDGT8,https://listen.tidal.com/track/109315498,https://music.yandex.ru/track/53003038,https://www.youtube.com/watch?v=h60fsK4pQKg,https://music.youtube.com/watch?v=h60fsK4pQKg,https://soundcloud.com/akute/04-akute
8,Akute,Сцены,https://music.amazon.com/albums/B07RBY7NS5?trackAsin=B07R6V6SMD,https://www.deezer.com/track/673763152,https://geo.music.apple.com/us/album/_/1462088237?i=1462088241&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/1xfrmNYpUMjgaR2YablU71,https://listen.tidal.com/track/108634643,https://music.yandex.ru/track/52569984,https://www.youtube.com/watch?v=iF9v6lP1d_Q,https://music.youtube.com/watch?v=iF9v6lP1d_Q,
9,Akute,Кроў бы вада,https://music.amazon.com/albums/B07RWZ8SCQ?trackAsin=B07RWZ88WP,https://www.deezer.com/track/681389312,https://geo.music.apple.com/us/album/_/1463932240?i=1463932241&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/5UzhjHUJ8yHD6x8T5bThhV,https://listen.tidal.com/track/109477247,https://music.yandex.ru/track/53117163,https://www.youtube.com/watch?v=oA-4_29imMU,https://music.youtube.com/watch?v=oA-4_29imMU,
0,Ляпис трубецкой,Воины света,https://music.amazon.com/albums/B07HP94KJ7?trackAsin=B07HPCQP7K,https://www.deezer.com/track/560578192,https://geo.music.apple.com/us/album/_/821651113?i=821651200&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/0h5x5L6JLxKwV0bkBNeCZg,https://listen.tidal.com/track/95720849,https://music.yandex.ru/track/27334963,https://www.youtube.com/watch?v=kN-IOsafZ6s,https://music.youtube.com/watch?v=kN-IOsafZ6s,https://soundcloud.com/liapistrubietskoi/sylx7qgcl4fq
1,Ляпис трубецкой,Воїни світла,https://music.amazon.com/albums/B0B7NYHXHM?trackAsin=B0B7NTX22C,,https://geo.music.apple.com/us/album/_/1636482934?i=1636482939&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/64hFcUEAhSODWUm4ZtqEaH,https://listen.tidal.com/track/239884511,,https://www.youtube.com/watch?v=AAVoI3dIfmI,https://music.youtube.com/watch?v=AAVoI3dIfmI,
2,Ляпис трубецкой,В Платье Белом,,https://www.deezer.com/track/110888922,https://geo.music.apple.com/us/album/_/1053390705?i=1053390713&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/6osZxKmPaOavbJKI2ztOe1,https://listen.tidal.com/track/66829524,https://music.yandex.ru/track/25784401,https://www.youtube.com/watch?v=_dHIfbZ-1zM,https://music.youtube.com/watch?v=_dHIfbZ-1zM,https://soundcloud.com/liapistrubietskoi/mceu72879ekq
3,Ляпис трубецкой,Железный,,https://www.deezer.com/track/122192868,https://geo.music.apple.com/us/album/_/1051413826?i=1051413982&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/2IYOI6TkrRB7xBuEqcn0t7,https://listen.tidal.com/track/66829553,https://music.yandex.ru/track/27334962,https://www.youtube.com/watch?v=vn_wh2BcnWQ,https://music.youtube.com/watch?v=vn_wh2BcnWQ,https://soundcloud.com/lyapis/qzatt05jkazv
4,Ляпис трубецкой,По Аллеям,,https://www.deezer.com/track/108481962,https://geo.music.apple.com/us/album/_/1051689921?i=1051689923&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/3rRXs5QObo3xA8g5r7Dkra,https://listen.tidal.com/track/58628847,https://music.yandex.ru/track/25373428,https://www.youtube.com/watch?v=-mHsxKtseeU,https://music.youtube.com/watch?v=-mHsxKtseeU,https://soundcloud.com/liapistrubietskoi/z54a6w48er8r
5,Ляпис трубецкой,Цмок Ды Арол,,https://www.deezer.com/track/108785776,https://geo.music.apple.com/us/album/_/1051413826?i=1051413975&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/0PR2KPZzz8s2CE00Pnzdhe,https://listen.tidal.com/track/58629170,https://music.yandex.ru/track/25427098,https://www.youtube.com/watch?v=3lNVlHcSidQ,https://music.youtube.com/watch?v=3lNVlHcSidQ,https://soundcloud.com/lyapis/n8tfkkaf4tun
6,Ляпис трубецкой,Путинарода,,https://www.deezer.com/track/122192866,https://geo.music.apple.com/us/album/_/1051413826?i=1051413976&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/1Q8jYWivGNusg9Cn18N3YP,https://listen.tidal.com/track/66829552,https://music.yandex.ru/track/25427099,https://www.youtube.com/watch?v=0bi4K_yll2I,https://music.youtube.com/watch?v=0bi4K_yll2I,https://soundcloud.com/lyapis/zxc2l2g8i9gi
7,Ляпис трубецкой,Я Верю,https://music.amazon.com/albums/B0172AMJB8?trackAsin=B0172AMR3I,https://www.deezer.com/track/122192874,https://geo.music.apple.com/us/album/_/1051305464?i=1051305473&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/3wgyRYGN3av6Wh1oncaeNn,https://listen.tidal.com/track/66829555,https://music.yandex.ru/track/27334964,https://www.youtube.com/watch?v=QzjtmDpc0iw,https://music.youtube.com/watch?v=QzjtmDpc0iw,https://soundcloud.com/liapistrubietskoi/kg0k8k98ttgi
8,Ляпис трубецкой,Некрасавица,,https://www.deezer.com/track/122184924,https://geo.music.apple.com/us/album/_/1081397933?i=1081398102&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/0KESXbh8k64AJccgMj8WKA,https://listen.tidal.com/track/66829536,https://music.yandex.ru/track/27123200,https://www.youtube.com/watch?v=IPJB7UkkrS0,https://music.youtube.com/watch?v=IPJB7UkkrS0,https://soundcloud.com/liapistrubietskoi/pbyhcj1anhyd
9,Ляпис трубецкой,Березки,,https://www.deezer.com/track/108767796,https://geo.music.apple.com/us/album/_/1051054253?i=1051054571&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/0B7zeFPJ8WjVT97bIAwaHu,https://listen.tidal.com/track/58628971,,https://www.youtube.com/watch?v=BmX2BtxmgRQ,https://music.youtube.com/watch?v=BmX2BtxmgRQ,https://soundcloud.com/liapistrubietskoi/qaib7op5kzmm
0,relikt,Relikt,,https://www.deezer.com/track/1435078012,https://geo.music.apple.com/us/album/_/1576691710?i=1576691735&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/0cQrxY9FWdBuugLsJBtra3,https://listen.tidal.com/track/191086999,https://music.yandex.ru/track/87356161,https://www.youtube.com/watch?v=gpxZb_QyWk8,https://music.youtube.com/watch?v=gpxZb_QyWk8,https://soundcloud.com/kobosil/in-verruf-relikt-1
1,relikt,Relikt,,,https://geo.music.apple.com/us/album/_/881415503?i=881415525&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/3O1fxO8dlRIKRBSplm8rvz,https://listen.tidal.com/track/30028383,https://music.yandex.ru/track/69037236,https://www.youtube.com/watch?v=o7X2qkxiNIg,https://music.youtube.com/watch?v=o7X2qkxiNIg,
2,relikt,Relikt,,https://www.deezer.com/track/1009474542,https://geo.music.apple.com/us/album/_/1521935520?i=1521935869&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/1yMCl2pEpiTS28LNYnd5EB,https://listen.tidal.com/track/147197469,https://music.yandex.ru/track/68219417,https://www.youtube.com/watch?v=2XgdTvbb2pI,https://music.youtube.com/watch?v=2XgdTvbb2pI,https://soundcloud.com/sperling-sc/relikt
3,relikt,Хадзіла галота...,,,,,,,https://www.youtube.com/watch?v=33EdaS5vokQ,https://music.youtube.com/watch?v=33EdaS5vokQ,https://soundcloud.com/relikt_belarus/chadzila-halota
4,relikt,Kraina taleraŭ,,https://www.deezer.com/track/1841351867,https://geo.music.apple.com/us/album/_/1637566101?i=1637566114&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/3eq2faMwwed2yySvtg8Xz7,https://listen.tidal.com/track/239899240,,https://www.youtube.com/watch?v=Lsm9Zc9S8sg,https://music.youtube.com/watch?v=Lsm9Zc9S8sg,
5,relikt,Plac Francyska,https://music.amazon.com/albums/B0B7P437KD?trackAsin=B0B7P19C5B,https://www.deezer.com/track/1841351857,https://geo.music.apple.com/us/album/_/1637566101?i=1637566112&mt=1&app=music&ls=1&at=1000lHKX&ct=api_http&itscg=30200&itsct=odsl_m,https://open.spotify.com/track/7N3UXWpbDtIBUistBqKhXf,https://listen.tidal.com/track/239899239,,https://www.youtube.com/watch?v=O0PtHOY2eFg,https://music.youtube.com/watch?v=O0PtHOY2eFg,
